-52.8308      -0.4005
-51.5790      -0.4348
-50.4357      -0.4569
-48.8207      -0.4631
-47.3143      -0.4570
-36.2581      -0.3297
-25.7898      -0.2196
-4.7404      -0.0042
-2.4134      0.0215
3.1647      0.0717
8.8634      0.1304
13.1684      0.1781
18.2905      0.2393
22.7211      0.3042
27.1566      0.3777
30.3190      0.4487
33.3645      0.5173
36.7581      0.5883
39.5681      0.6496
42.9632      0.7231
44.2469      0.7439
46.3335      0.7536
48.4122      0.7499
50.1378      0.7352
51.0492      0.7119
52.0514      0.6457
53.2791      0.5697
54.8445      0.4777
56.1892      0.4041
57.5368      0.3355
58.7674      0.2643
60.5746      0.1908
63.0853      0.1343
66.2975      0.0914
69.8614      0.0570
74.0069      0.0287
78.2744      0.0115
