*****************************
Basic coeficients
*****************************
Alpha, Cd
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
   120.0    ,     .000    
   175.0    ,     .000    

Alpha, CLad_Basic
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
   120.0    ,     .000    
   175.0    ,     .000    

Alpha, Cmad_Basic
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
   120.0    ,     .000    
   175.0    ,     .000    

Alpha, Clp
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
   120.0    ,     .000    
   175.0    ,     .000    

Alpha, Cyp
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
   120.0    ,     .000    
   175.0    ,     .000    

Alpha, Cnp
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
   120.0    ,     .000    
   175.0    ,     .000    

Alpha, Cnr
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
   120.0    ,     .000    
   175.0    ,     .000    

Alpha, Clr
  -16.00    ,     .000    
  -8.000    ,     .000    
  -6.000    ,     .000    
  -4.000    ,     .000    
  -2.000    ,     .000    
    .000    ,     .000    
   2.000    ,     .000    
   4.000    ,     .000    
   8.000    ,     .000    
   10.00    ,     .000    
   12.00    ,     .000    
   14.00    ,     .000    
   16.00    ,     .000    
   17.00    ,     .000    
   23.00    ,     .000    
   30.00    ,     .000    
   60.00    ,     .000    
   90.00    ,     .000    
