-62.0848      -0.1188
-53.3430      -0.1543
-45.5824      -0.1911
-40.6475      -0.2179
-37.5474      -0.2364
-34.3623      -0.2557
-30.0802      -0.2839
-25.7103      -0.3138
-23.6096      -0.3281
-21.6022      -0.3390
-19.7703      -0.3465
-17.7784      -0.3527
-15.6251      -0.3581
-13.1461      -0.3625
-10.1800      -0.3652
-6.3983      -0.3661
-2.4537      -0.3666
0.5039      -0.3667
4.9398      -0.3667
9.4549      -0.3658
13.8880      -0.3649
15.7683      -0.3621
17.4745      -0.3564
22.0809      -0.3333
26.4438      -0.3110
28.6357      -0.3031
30.3448      -0.2982
32.3030      -0.2942
34.0956      -0.2897
35.5569      -0.2845
37.1796      -0.2783
38.7967      -0.2704
40.0060      -0.2635
43.6993      -0.2375
46.9054      -0.2132
50.4345      -0.1872
54.2126      -0.1620
56.9542      -0.1464
60.1063      -0.1307
64.3996      -0.1123
69.5935      -0.0929
74.3129      -0.0792
79.0421      -0.0685
83.9412      -0.0594
89.5877      -0.0528
94.0944      -0.0494
98.0305      -0.0473
104.6822      -0.0466
