-11.21614   -0.40038
0.10050   0.00000
4.76007   0.24179
7.09306   0.38400
10.44027   0.58716
12.87714   0.75170
15.92315   0.95688
18.36093   1.12752
21.00156   1.31036
23.03305   1.45256
25.67306   1.63133
27.90617   1.77759
31.14247   1.91171
34.37112   1.99507
37.39478   2.05203
38.60265   2.06425
40.21101   2.06634
41.61652   2.05623
43.01989   2.03191
44.42142   1.99541
45.62041   1.94875
47.61486   1.84527
49.50881   1.74178
50.91004   1.70325
52.41636   1.69517
54.62865   1.70337
58.85345   1.72788
63.88319   1.75851
69.71665   1.78713
72.93489   1.80145
75.34819   1.80966
76.95532   1.80362
